Title,Author,Cover,Link
Plants vs. zombies. Bully for you by Paul Tobin,Paul Tobin,https://covers.openlibrary.org/w/id/10437473-M.jpg,https://openlibrary.org/books/OL27196664M
Barbie by Golden Books,Golden Books,https://covers.openlibrary.org/w/id/2359079-M.jpg,https://openlibrary.org/books/OL10353942M
Goin' places! by Travis Nichols,Travis Nichols,https://covers.openlibrary.org/w/id/8180810-M.jpg,https://openlibrary.org/books/OL26454137M
The Flying Bath by Julia Donaldson,Julia Donaldson,https://covers.openlibrary.org/w/id/11290506-M.jpg,https://openlibrary.org/books/OL28002763M
Boing! No Bouncing on the Bed (This One and That One),,,https://openlibrary.org/books/OL9824017M
Elephant Small and the Splashy Bath by Sally Grindley,Sally Grindley,,https://openlibrary.org/books/OL9595154M
What Does Peace Feel Like? by Vladimir Radunsky,Vladimir Radunsky,,https://openlibrary.org/books/OL7730722M
"The Seattle Puzzle by Gertrude Chandler Warner, Robert Papp","Gertrude Chandler Warner, Robert Papp",,https://openlibrary.org/books/OL7946737M
Pokemon Mystery Dungeon by Mizobuchi Makoto,Mizobuchi Makoto,,https://openlibrary.org/books/OL8491174M
A Tiny Bit Lucky by Liz Pichon,Liz Pichon,,https://openlibrary.org/books/OL26012173M
Psssst!  It's Me... The Bogeyman by Barbara Park,Barbara Park,,https://openlibrary.org/books/OL7729815M
Looking-glass Girl by Cathy Cassidy,Cathy Cassidy,,https://openlibrary.org/books/OL27487472M
Summer Camp at Trebizon by Anne Digby,Anne Digby,,https://openlibrary.org/books/OL7882487M
Postman Bear by Julia Donaldson,Julia Donaldson,,https://openlibrary.org/books/OL28040841M
Keturah And Lord Death by Martine Leavitt,Martine Leavitt,,https://openlibrary.org/books/OL8808965M
"Scream, Jennifer, Scream! by Robert Lawrence Stine",Robert Lawrence Stine,,https://openlibrary.org/books/OL9628304M
Saigo no ansatsusha,,https://covers.openlibrary.org/b/id/13016154-M.jpg,https://openlibrary.org/books/OL22923512M
Along came a Spider,,https://covers.openlibrary.org/b/id/13321060-M.jpg,https://openlibrary.org/books/OL43654208M
Arkange,,https://covers.openlibrary.org/b/id/10241287-M.jpg,https://openlibrary.org/books/OL28311942M
The Big Four,,https://covers.openlibrary.org/b/id/12996529-M.jpg,https://openlibrary.org/books/OL40281005M
Sidetracked,,https://covers.openlibrary.org/b/id/805058-M.jpg,https://openlibrary.org/books/OL381648M
Bouquet d'épines,,https://covers.openlibrary.org/b/id/10210808-M.jpg,https://openlibrary.org/books/OL28284733M
Zodiac,,,https://openlibrary.org/books/OL18144532M
Treasure Island,,,https://openlibrary.org/books/OL38627923M
控制,,,https://openlibrary.org/books/OL28866264M
Andelé a démoni,,,https://openlibrary.org/books/OL50365953M
Treasure,,,https://openlibrary.org/books/OL24382144M
O Testamento,,,https://openlibrary.org/books/OL9158001M
Ying wang,,,https://openlibrary.org/books/OL37063954M
Around the World in Eighty Days,,,https://openlibrary.org/books/OL37044494M
Los puentes de Londres,,,https://openlibrary.org/books/OL9134401M
The Stepford Wives,,,https://openlibrary.org/books/OL35716362M
The Bachman Books,,,https://openlibrary.org/books/OL7573946M
Un bebe pour Rosemary,,,https://openlibrary.org/books/OL15235555M
Ne crains rien,,,https://openlibrary.org/books/OL12510097M
重生,,,https://openlibrary.org/books/OL32042532M
Fundamentos De Química Analítica,,https://covers.openlibrary.org/b/id/9770593-M.jpg,https://openlibrary.org/books/OL27911405M
Nelson Spelling,,https://covers.openlibrary.org/b/id/11491845-M.jpg,https://openlibrary.org/books/OL10764761M
Discovering Our Past,,https://covers.openlibrary.org/b/id/10308821-M.jpg,https://openlibrary.org/books/OL28371918M
Global business today,,https://covers.openlibrary.org/b/id/11638203-M.jpg,https://openlibrary.org/books/OL19267795M
Engineering design,,https://covers.openlibrary.org/b/id/12630958-M.jpg,https://openlibrary.org/books/OL25360136M
Sadlier phonics,,https://covers.openlibrary.org/b/id/6857174-M.jpg,https://openlibrary.org/books/OL24836453M
McGraw-Hill Language Arts: Texas Edition ,,,https://openlibrary.org/books/OL9745458M
World history,,,https://openlibrary.org/books/OL24238180M
Development in adulthood,,,https://openlibrary.org/books/OL1109102M
Argumentation,,,https://openlibrary.org/books/OL9873245M
Mathematics for college technology 12,,,https://openlibrary.org/books/OL19596156M
History of Rock and Roll,,,https://openlibrary.org/books/OL8145424M
Artificial intelligence,,,https://openlibrary.org/books/OL1560267M
Intermediate algebra,,,https://openlibrary.org/books/OL23145185M
Cognitive psychology,,,https://openlibrary.org/books/OL3480542M
Human motor development,,,https://openlibrary.org/books/OL1106089M
Operations management,,,https://openlibrary.org/books/OL22179277M
Organic Chemistry,,,https://openlibrary.org/books/OL9261516M
Teaching strategies for the social studies,,,https://openlibrary.org/books/OL2194071M
Ancient World (World Explorers Series),,,https://openlibrary.org/books/OL7341495M
